TimeTaken(ms)
1717
1638
1590
1588
1611
1590
1628
1599
1581
1566
1588
1602
1583
1585
1589
1574
1578
1570
1591
1610
1567
1610
1590
1578
1581
1600
1597
1580
1599
1578
