TimeTaken(ms)
46418
46390
46372
46318
46396
46374
46475
46439
46422
46447
46427
46430
46417
46359
46390
46397
46372
46351
46385
46325
46352
46325
46396
46350
46322
47728
47572
47594
47561
47618
47656
47568
47610
47610
47554
47044
46956
46989
47106
47003
46943
47000
46944
46955
47012
46958
46959
47021
46951
46975
47931
47252
47047
47050
47067
47038
47110
47138
47156
47138
47096
47100
47059
47110
47140
47155
47167
47172
47102
47175
47157
47151
47081
47138
47028
47011
46970
46972
46979
46975
46962
47078
47043
46956
47002
46980
46981
47054
46989
46966
46968
47036
46988
46946
47031
46977
47031
46956
47007
46949
